Date,US10Y_Yield,Apple_Yield,Apple_Spread,Microsoft_Yield,Microsoft_Spread,Alphabet_Yield,Alphabet_Spread,Amazon_Yield,Amazon_Spread,Nvidia_Yield,Nvidia_Spread,Meta_Yield,Meta_Spread,Tesla_Yield,Tesla_Spread,TSMC_Yield,TSMC_Spread,Samsung_Yield,Samsung_Spread
2026-07-10,4.56,4.755,0.1950000000000002,4.8875,0.3275000000000005,3.994444444444445,-0.5655555555555547,3.985,-0.5749999999999997,5.2,0.6400000000000006,5.359999999999999,0.7999999999999998,,,,,,
2026-07-10,4.56,4.755,0.1950000000000002,4.8875,0.3275000000000005,3.9966666666666666,-0.563333333333333,3.985,-0.5749999999999997,5.2,0.6400000000000006,5.359999999999999,0.7999999999999998,,,,,,
2026-07-10,4.56,4.755,0.1950000000000002,4.8875,0.3275000000000005,3.9966666666666666,-0.563333333333333,3.985,-0.5749999999999997,5.2,0.6400000000000006,5.359999999999999,0.7999999999999998,,,,,,
2026-07-10,4.56,4.755,0.1950000000000002,4.8825,0.3225000000000007,3.9966666666666666,-0.563333333333333,3.985,-0.5749999999999997,5.2,0.6400000000000006,5.359999999999999,0.7999999999999998,,,,,,
2026-07-10,4.56,4.476666666666667,-0.083333333333333,4.75125,0.1912500000000001,3.963478260869565,-0.5965217391304347,4.1515,-0.4084999999999992,4.922,0.3620000000000001,5.115555555555556,0.5555555555555562,,,4.634,0.0740000000000007,,
2026-07-10,4.56,4.476666666666667,-0.083333333333333,4.75125,0.1912500000000001,3.963478260869565,-0.5965217391304347,4.1515,-0.4084999999999992,4.922,0.3620000000000001,5.115555555555556,0.5555555555555562,7.515000000000001,2.955000000000001,4.634,0.0740000000000007,,
2026-07-10,4.56,4.476666666666667,-0.083333333333333,4.75125,0.1912500000000001,3.963478260869565,-0.5965217391304347,4.1515,-0.4084999999999992,4.922,0.3620000000000001,5.115555555555556,0.5555555555555562,7.515000000000001,2.955000000000001,4.634,0.0740000000000007,,
2026-07-10,4.56,4.455555555555556,-0.1044444444444439,4.7375,0.1775000000000002,3.961304347826087,-0.5986956521739129,4.143,-0.4169999999999998,4.922,0.3620000000000001,5.115555555555556,0.5555555555555562,7.515000000000001,2.955000000000001,4.634,0.0740000000000007,,
2026-07-10,4.56,4.455555555555556,-0.1044444444444439,4.7375,0.1775000000000002,3.961304347826087,-0.5986956521739129,4.143,-0.4169999999999998,4.922,0.3620000000000001,5.115555555555556,0.5555555555555562,7.515000000000001,2.955000000000001,4.634,0.0740000000000007,,
2026-07-10,4.56,4.455555555555556,-0.1044444444444439,4.735,0.1750000000000007,3.961739130434783,-0.598260869565217,4.143,-0.4169999999999998,4.922,0.3620000000000001,5.115555555555556,0.5555555555555562,7.515000000000001,2.955000000000001,4.634,0.0740000000000007,,
2026-07-10,4.56,4.455555555555556,-0.1044444444444439,4.735,0.1750000000000007,3.9617391304347827,-0.598260869565217,4.143,-0.4169999999999998,4.922,0.3620000000000001,5.115555555555556,0.5555555555555562,7.515000000000001,2.955000000000001,4.634,0.07400000000000073,,
