date,usdjpy_1m_iv,usdjpy_1m_rr
2023-08-23,9.195,-1.38
2023-08-24,9.61,-1.5
2023-08-25,9.335,-1.18
2023-08-28,9.1,-1.34
2023-08-29,9.155,-1.67
2023-08-30,9.15,-1.41
2023-08-31,9.165,-1.82
2023-09-01,9.05,-1.13
2023-09-04,9.07,-1.39
2023-09-05,9.135,-0.89
2023-09-06,9.19,-1.58
2023-09-07,9.27,-1.7
2023-09-08,9.115,-1.46
2023-09-11,9.67,-1.31
2023-09-12,9.695,-1.67
2023-09-13,9.475,-1.34
2023-09-14,9.05,-1.33
2023-09-15,9.085,-1.49
2023-09-18,9.06,-1.26
2023-09-19,8.665,-1.41
2023-09-20,8.71,-1.46
2023-09-21,9.065,-1.76
2023-09-22,7.99,-0.96
2023-09-25,7.91,-0.79
2023-09-26,8.395,-1.39
2023-09-27,8.86,-1.54
2023-09-28,9.2,-1.31
2023-09-29,8.71,-0.91
2023-10-02,9.02,-1.23
2023-10-03,9.81,-1.79
2023-10-04,9.405,-1.33
2023-10-05,9.215,-1.49
2023-10-06,8.845,-1.28
2023-10-09,9.065,-1.28
2023-10-10,8.975,-1.45
2023-10-11,8.705,-1.24
2023-10-12,8.54,-0.7
2023-10-13,8.51,-1.35
2023-10-16,8.145,-1.33
2023-10-17,7.775,-0.98
2023-10-18,7.775,-1.32
2023-10-19,7.86,-0.9
2023-10-20,8.345,-1.4
2023-10-23,8.315,-1.12
2023-10-24,7.99,-1.14
2023-10-25,8.07,-1.23
2023-10-26,8.34,-1.48
2023-10-27,8.065,-1.28
2023-10-30,8.045,-1.27
2023-10-31,8.915,-1.65
2023-11-01,7.99,-1.16
2023-11-02,7.555,-1.59
2023-11-03,7.21,-1.07
2023-11-06,7.2,-1.41
2023-11-07,7.24,-1.08
2023-11-08,7.24,-1.06
2023-11-09,7.2,-1.28
2023-11-10,7.2,-1.14
2023-11-13,7.685,-1.16
2023-11-14,7.55,-1.41
2023-11-15,7.26,-0.98
2023-11-16,6.935,-1.14
2023-11-17,8.165,-1.28
2023-11-20,8.81,-1.56
2023-11-21,8.965,-1.57
2023-11-22,8.815,-1.54
2023-11-23,8.76,-1.35
2023-11-24,8.1075,-0.83
2023-11-27,8.3075,-1.27
2023-11-28,8.8,-1.03
2023-11-29,8.9,-1.29
2023-11-30,9.105,-1.61
2023-12-01,8.75,-1.56
2023-12-04,9.125,-1.51
2023-12-05,8.945,-1.3
2023-12-06,8.575,-1.37
2023-12-07,10.985,-1.71
2023-12-08,10.46,-1.83
2023-12-11,10.415,-1.68
2023-12-12,10.56,-1.53
2023-12-13,10.795,-1.85
2023-12-14,11.58,-1.95
2023-12-15,11.495,-2.3
2023-12-18,11.305,-1.5
2023-12-19,9.085,-1.36
2023-12-20,8.67,-1.69
2023-12-21,10.4,-1.6
2023-12-22,10.49,-1.68
2023-12-25,10.88,-1.62
2023-12-26,10.88,-1.69
2023-12-27,10.29,-1.36
2023-12-28,10.97,-1.56
2023-12-29,10.69,-1.84
2024-01-01,11.06,-1.54
2024-01-02,10.8175,-1.62
2024-01-03,10.9075,-2.04
2024-01-04,10.815,-1.73
2024-01-05,10.43,-1.24
2024-01-08,10.675,-1.38
2024-01-09,10.365,-1.64
2024-01-10,10.21,-1.39
2024-01-11,9.485,-1.63
2024-01-12,9.375,-1.33
2024-01-15,9.41,-1.76
2024-01-16,9.52,-1.58
2024-01-17,9.735,-1.38
2024-01-18,9.235,-1.49
2024-01-19,9.245,-1.51
2024-01-22,9.23,-1.42
2024-01-23,8.6075,-0.95
2024-01-24,8.875,-1.6
2024-01-25,8.45,-1.26
2024-01-26,8.215,-1.06
2024-01-29,8.425,-1.44
2024-01-30,8.4125,-1.21
2024-01-31,8.915,-1.52
2024-02-01,9.0175,-1.21
2024-02-02,8.4075,-1.29
2024-02-05,8.44,-1.05
2024-02-06,8.31,-1.09
2024-02-07,8.3875,-1.48
2024-02-08,8.1675,-1.29
2024-02-09,7.7875,-1.24
2024-02-12,7.8025,-1.2
2024-02-13,8.2275,-1.19
2024-02-14,7.88,-0.95
2024-02-15,7.57,-1.21
2024-02-16,7.1325,-0.83
2024-02-19,7.18,-1.17
2024-02-20,7.73,-1.06
2024-02-21,7.945,-1.54
2024-02-22,7.64,-1.1
2024-02-23,7.425,-0.86
2024-02-26,7.335,-1.18
2024-02-27,7.55,-1.15
2024-02-28,7.67,-1.04
2024-02-29,8.04,-1.06
2024-03-01,7.6675,-1.21
2024-03-04,7.605,-1.12
2024-03-05,7.8,-1.06
2024-03-06,8.385,-1.31
2024-03-07,8.865,-1.24
2024-03-08,8.925,-1.29
2024-03-11,9.2,-1.36
2024-03-12,8.7475,-1.04
2024-03-13,8.4775,-1.22
2024-03-14,8.2575,-1.21
2024-03-15,7.81,-1.13
2024-03-18,7.555,-0.97
2024-03-19,7.1225,-1.11
2024-03-20,7.3675,-1.23
2024-03-21,7.41,-1.43
2024-03-22,7.8775,-1.33
2024-03-25,7.315,-1.17
2024-03-26,6.905,-1.08
2024-03-27,7.3675,-1.09
2024-03-28,7.635,-1.08
2024-03-29,7.685,-1.06
2024-04-01,7.95,-1.06
2024-04-02,7.795,-0.84
2024-04-03,7.5425,-0.94
2024-04-04,7.69,-1.31
2024-04-05,7.525,-0.95
2024-04-08,7.8075,-0.99
2024-04-09,7.8,-1.08
2024-04-10,8.955,-0.98
2024-04-11,8.5975,-1.26
2024-04-12,8.7525,-1.17
2024-04-15,9.35,-1.46
2024-04-16,10.01,-1.5
2024-04-17,9.4375,-1.38
2024-04-18,8.5475,-1.53
2024-04-19,8.65,-1.36
2024-04-22,8.4775,-0.97
2024-04-23,8.6425,-1.35
2024-04-24,9.49,-1.81
2024-04-25,9.73,-1.48
2024-04-26,10.97,-1.44
2024-04-29,10.475,-1.15
2024-04-30,10.2875,-1.71
2024-05-01,10.4375,-1.52
2024-05-02,10.55,-1.65
2024-05-03,9.545,-1.36
2024-05-06,9.035,-1.23
2024-05-07,8.79,-1.21
2024-05-08,9.0575,-1.18
2024-05-09,8.82,-1.8
2024-05-10,8.59,-1.23
2024-05-13,8.825,-1.66
2024-05-14,8.975,-1.29
2024-05-15,8.5925,-1.35
2024-05-16,8.78,-0.98
2024-05-17,8.555,-1.4
2024-05-20,8.745,-1.52
2024-05-21,8.615,-1.32
2024-05-22,8.545,-1.4
2024-05-23,8.4425,-1.36
2024-05-24,8.38,-1.25
2024-05-27,8.44,-1.16
2024-05-28,8.32,-1.05
2024-05-29,8.6025,-1.26
2024-05-30,8.515,-0.62
2024-05-31,8.3275,-1.17
2024-06-03,8.515,-1.22
2024-06-04,9.2475,-1.44
2024-06-05,8.86,-1.47
2024-06-06,8.705,-1.13
2024-06-07,8.695,-1.16
2024-06-10,8.8325,-1.19
2024-06-11,8.97,-1.35
2024-06-12,8.615,-1.54
2024-06-13,8.225,-1.5
2024-06-14,8.25,-1.24
2024-06-17,8.0,-1.14
2024-06-18,7.875,-1.07
2024-06-19,7.54,-0.95
2024-06-20,7.8425,-1.26
2024-06-21,8.33,-1.49
2024-06-24,8.77,-1.38
2024-06-25,8.355,-1.32
2024-06-26,8.9475,-1.63
2024-06-27,8.8975,-1.09
2024-06-28,9.5025,-1.28
2024-07-01,10.1725,-1.61
2024-07-02,9.845,-1.46
2024-07-03,9.54,-1.29
2024-07-04,9.26,-1.49
2024-07-05,8.925,-1.42
2024-07-08,8.95,-1.7
2024-07-09,8.645,-1.23
2024-07-10,8.525,-1.25
2024-07-11,9.055,-1.22
2024-07-12,9.185,-1.36
2024-07-15,9.47,-1.25
2024-07-16,9.02,-1.68
2024-07-17,9.91,-1.22
2024-07-18,9.585,-1.7
2024-07-19,9.35,-0.96
2024-07-22,9.44,-1.67
2024-07-23,9.95,-1.33
2024-07-24,10.3425,-1.75
2024-07-25,10.55,-1.59
2024-07-26,10.32,-1.47
2024-07-29,10.73,-1.78
2024-07-30,11.075,-1.61
2024-07-31,11.52,-1.49
2024-08-01,11.18,-1.36
2024-08-02,11.8625,-1.83
2024-08-05,15.61,-2.36
2024-08-06,14.5375,-2.26
2024-08-07,14.695,-2.6
2024-08-08,13.745,-1.98
2024-08-09,13.535,-2.16
2024-08-12,13.18,-1.78
2024-08-13,13.215,-1.87
2024-08-14,12.19,-1.58
2024-08-15,10.515,-1.58
2024-08-16,10.63,-1.44
2024-08-19,12.055,-1.53
2024-08-20,12.605,-1.39
2024-08-21,12.8875,-2.07
2024-08-22,12.33,-1.96
2024-08-23,12.2925,-1.74
2024-08-26,12.6525,-2.33
2024-08-27,12.545,-2.03
2024-08-28,12.575,-1.58
2024-08-29,12.195,-1.76
2024-08-30,11.63,-1.62
2024-09-02,11.93,-1.66
2024-09-03,12.555,-1.58
2024-09-04,12.99,-1.73
2024-09-05,13.2175,-1.79
2024-09-06,12.8475,-1.84
2024-09-09,12.36,-1.89
2024-09-10,12.4625,-2.06
2024-09-11,12.4075,-1.68
2024-09-12,11.9525,-1.96
2024-09-13,12.51,-1.7
2024-09-16,13.02,-1.69
2024-09-17,12.6125,-2.08
2024-09-18,12.2525,-1.81
2024-09-19,11.7975,-2.08
2024-09-20,11.4475,-1.86
2024-09-23,11.5825,-1.74
2024-09-24,11.6225,-2.01
2024-09-25,12.215,-1.54
2024-09-26,11.97,-1.67
2024-09-27,11.51,-1.92
2024-09-30,12.26,-1.95
2024-10-01,12.645,-2.47
2024-10-02,12.66,-1.99
2024-10-03,12.4375,-1.96
2024-10-04,13.015,-2.25
2024-10-07,13.48,-2.06
2024-10-08,12.94,-1.95
2024-10-09,12.785,-1.84
2024-10-10,12.28,-1.95
2024-10-11,11.83,-1.86
2024-10-14,11.8,-1.67
2024-10-15,11.855,-1.81
2024-10-16,11.7925,-1.61
2024-10-17,11.53,-2.06
2024-10-18,11.525,-1.87
2024-10-21,11.8675,-1.91
2024-10-22,11.9925,-1.57
2024-10-23,13.3,-2.13
2024-10-24,12.705,-2.06
2024-10-25,12.955,-1.87
2024-10-28,13.3875,-1.88
2024-10-29,13.7275,-2.02
2024-10-30,13.3,-1.91
2024-10-31,12.865,-2.38
2024-11-01,12.6925,-2.23
2024-11-04,13.175,-1.93
2024-11-05,12.935,-2.02
2024-11-06,10.89,-1.69
2024-11-07,10.3,-1.49
2024-11-08,9.8975,-1.36
2024-11-11,10.1425,-1.17
2024-11-12,10.3275,-1.38
2024-11-13,9.9775,-1.68
2024-11-14,9.9375,-1.31
2024-11-15,10.6225,-1.49
2024-11-18,10.345,-1.54
2024-11-19,11.4,-1.48
2024-11-20,11.53,-1.75
2024-11-21,11.67,-1.61
2024-11-22,11.4825,-2.13
2024-11-25,11.455,-1.58
2024-11-26,11.49,-2.15
2024-11-27,11.9975,-1.97
2024-11-28,11.685,-1.66
2024-11-29,12.2525,-1.81
2024-12-02,12.905,-1.54
2024-12-03,13.115,-1.72
2024-12-04,12.9475,-1.89
2024-12-05,11.3475,-1.56
2024-12-06,10.92,-1.79
2024-12-09,10.86,-1.36
2024-12-10,10.6975,-1.53
2024-12-11,10.2175,-1.38
2024-12-12,9.8575,-1.44
2024-12-13,9.815,-1.46
2024-12-16,9.97,-1.73
2024-12-17,10.18,-1.26
2024-12-18,10.0875,-1.32
2024-12-19,9.97,-1.36
2024-12-20,10.01,-1.81
2024-12-23,10.185,-1.87
2024-12-24,10.105,-1.61
2024-12-25,10.215,-1.91
2024-12-26,10.705,-1.47
2024-12-27,10.565,-1.65
2024-12-30,10.79,-1.85
2024-12-31,10.825,-1.77
2025-01-01,10.92,-2.04
2025-01-02,11.0175,-1.53
2025-01-03,10.5075,-1.4
2025-01-06,10.475,-1.72
2025-01-07,10.23,-1.48
2025-01-08,10.565,-1.56
2025-01-09,10.5125,-1.43
2025-01-10,10.7075,-1.91
2025-01-13,11.335,-2.25
2025-01-14,10.86,-1.54
2025-01-15,11.01,-1.64
2025-01-16,10.6375,-1.64
2025-01-17,10.4625,-1.63
2025-01-20,10.7425,-1.51
2025-01-23,9.2875,-1.1
2025-01-24,8.685,-1.33
2025-01-27,9.825,-1.4
2025-01-28,9.5475,-1.57
2025-01-29,9.3775,-1.22
2025-01-30,9.8775,-1.61
2025-01-31,9.57,-1.46
2025-02-03,9.94,-2.02
2025-02-04,9.5075,-1.45
2025-02-05,10.1175,-1.45
2025-02-06,10.3425,-1.49
2025-02-07,10.5875,-1.43
2025-02-10,10.255,-1.73
2025-02-11,9.815,-1.6
2025-02-12,9.85,-1.38
2025-02-13,9.805,-1.71
2025-02-14,9.5075,-1.58
2025-02-17,9.4425,-1.31
2025-02-18,9.3725,-1.36
2025-02-19,9.285,-0.94
2025-02-20,10.7275,-1.91
2025-02-21,10.585,-1.69
2025-02-24,10.78,-1.71
2025-02-25,10.8825,-1.38
2025-02-26,10.84,-1.58
2025-02-27,10.4325,-1.58
2025-02-28,10.7525,-1.44
2025-03-03,11.0425,-2.03
2025-03-04,11.5725,-1.88
2025-03-05,11.4575,-1.66
2025-03-06,11.9275,-1.86
2025-03-07,11.69,-1.61
2025-03-10,12.215,-1.88
2025-03-11,11.8475,-1.74
2025-03-12,11.02,-1.61
2025-03-13,10.525,-1.4
2025-03-14,10.1525,-1.66
2025-03-17,10.115,-1.39
2025-03-18,10.0925,-1.76
2025-03-19,9.6875,-1.62
2025-03-20,9.61,-1.33
2025-03-21,9.595,-1.66
2025-03-24,9.44,-1.36
2025-03-25,9.365,-1.5
2025-03-26,9.3225,-1.41
2025-03-27,9.2275,-1.2
2025-03-28,9.325,-1.49
2025-03-31,10.265,-1.62
2025-04-01,10.845,-1.79
2025-04-02,10.655,-1.57
2025-04-03,12.3375,-1.82
2025-04-04,13.1525,-2.08
2025-04-07,13.5725,-2.13
2025-04-08,13.7075,-2.15
2025-04-09,12.7125,-2.07
2025-04-10,13.7175,-2.25
2025-04-11,15.115,-2.48
2025-04-14,13.9525,-2.22
2025-04-15,13.6325,-1.92
2025-04-16,14.1275,-2.28
2025-04-17,12.745,-1.87
2025-04-18,12.595,-1.9
2025-04-21,13.435,-2.29
2025-04-22,13.4425,-1.76
2025-04-23,12.58,-1.92
2025-04-24,11.865,-2.11
2025-04-25,11.8675,-1.77
2025-04-28,12.3275,-1.86
2025-04-29,12.425,-1.87
2025-04-30,12.245,-1.35
2025-05-01,11.735,-1.65
2025-05-02,11.975,-1.78
2025-05-05,12.6125,-1.69
2025-05-06,12.69,-1.87
2025-05-07,12.1175,-2.2
2025-05-08,11.415,-1.68
2025-05-09,11.37,-1.71
2025-05-12,10.47,-1.7
2025-05-13,9.685,-1.07
2025-05-14,10.605,-1.94
2025-05-15,11.115,-1.48
2025-05-16,11.37,-1.77
2025-05-27,11.79,-1.85
2025-05-28,11.175,-1.46
2025-05-29,11.43,-1.54
2025-05-30,11.2675,-1.56
2025-06-02,12.0,-1.94
2025-06-03,11.5875,-1.4
2025-06-04,11.7975,-1.6
2025-06-05,11.4925,-1.68
2025-06-06,10.655,-1.97
2025-06-09,10.53,-1.57
2025-06-10,10.4375,-1.27
2025-06-11,10.05,-1.68
2025-06-12,10.4875,-1.5
2025-06-13,10.705,-1.36
2025-06-16,10.5225,-1.48
2025-06-17,10.37,-1.53
2025-06-18,10.0825,-1.42
2025-06-19,9.825,-1.59
2025-06-20,9.3425,-1.5
2025-06-23,9.9725,-1.93
2025-06-24,10.06,-1.52
2025-06-25,9.8125,-1.26
2025-06-26,10.0975,-1.72
2025-06-27,9.905,-1.58
2025-06-30,10.505,-1.46
2025-07-01,10.865,-1.7
2025-07-02,10.68,-1.59
2025-07-03,10.105,-1.47
2025-07-04,10.06,-1.6
2025-07-07,10.6025,-1.59
2025-07-08,10.675,-1.56
2025-07-09,10.32,-1.21
2025-07-10,9.7525,-1.37
2025-07-11,9.945,-1.32
2025-07-14,10.5925,-1.34
2025-07-15,11.025,-1.82
2025-07-16,10.94,-1.18
2025-07-17,10.7375,-1.99
2025-07-18,10.7275,-1.24
2025-07-21,9.9725,-1.51
2025-07-22,10.1025,-2.02
2025-07-23,9.9425,-1.43
2025-07-24,9.63,-1.68
2025-07-25,9.6675,-1.69
2025-07-28,9.52,-1.43
2025-07-29,9.1925,-1.45
2025-07-30,9.1425,-1.27
2025-07-31,9.1375,-1.52
2025-08-01,9.555,-1.57
2025-08-04,9.98,-1.36
2025-08-05,9.55,-1.19
2025-08-06,9.515,-1.36
2025-08-07,9.725,-1.06
2025-08-08,9.27,-1.31
2025-08-11,9.105,-1.52
2025-08-12,8.8975,-1.04
2025-08-13,8.9225,-1.07
2025-08-14,8.9525,-1.34
2025-08-15,8.7925,-1.5
2025-08-18,8.56,-1.87
2025-08-19,8.35,-1.29
2025-08-20,8.7425,-0.95
2025-08-21,8.9325,-1.5
2025-08-22,8.975,-1.18
2025-08-25,8.985,-1.67
2025-08-26,9.12,-1.36
2025-08-27,9.4425,-1.54
2025-08-28,9.7,-1.4
2025-08-29,9.42,-1.45
2025-09-01,9.845,-1.39
2025-09-02,9.915,-1.27
2025-09-03,10.0475,-1.79
2025-09-04,9.8525,-1.6
2025-09-05,9.72,-1.39
2025-09-08,9.815,-1.28
2025-09-09,9.9025,-1.14
2025-09-10,9.4625,-1.57
2025-09-11,9.0875,-1.62
2025-09-12,8.97,-1.27
2025-09-15,9.0475,-1.29
2025-09-16,9.7975,-1.32
2025-09-17,9.41,-1.54
2025-09-18,8.8175,-1.39
2025-09-19,8.445,-1.21
2025-09-22,8.5325,-1.56
2025-09-23,8.4325,-1.25
2025-09-24,8.4075,-1.11
2025-09-25,8.3675,-1.15
2025-09-26,8.3875,-1.19
2025-09-29,9.3775,-1.52
2025-09-30,9.415,-1.41
2025-10-01,9.6275,-1.96
2025-10-02,9.045,-1.38
2025-10-03,8.6175,-1.77
2025-10-06,8.8275,-1.27
2025-10-07,9.46,-1.7
2025-10-08,9.7075,-1.28
2025-10-09,9.725,-1.27
2025-10-10,10.17,-1.06
2025-10-13,10.215,-1.23
2025-10-14,10.1175,-1.57
2025-10-15,9.8275,-1.57
2025-10-16,9.635,-1.29
2025-10-17,9.4975,-1.6
2025-10-20,8.9275,-1.34
2025-10-21,9.1475,-1.6
2025-10-22,9.0375,-1.32
2025-10-23,8.9275,-1.16
2025-10-24,8.5975,-1.44
2025-10-27,8.2225,-1.2
2025-10-28,8.395,-1.49
2025-10-29,8.755,-1.25
2025-10-30,8.035,-0.96
2025-10-31,7.815,-1.01
2025-11-03,7.66,-1.21
2025-11-04,8.04,-1.23
2025-11-05,7.6525,-0.87
2025-11-06,7.9875,-1.24
2025-11-07,8.0875,-1.06
2025-11-10,8.0625,-1.43
2025-11-11,8.2825,-1.22
2025-11-12,8.6725,-1.02
2025-11-13,8.7675,-1.34
2025-11-14,8.82,-1.47
2025-11-17,8.955,-1.13
2025-11-18,9.0875,-1.48
2025-11-19,9.845,-1.32
2025-11-20,10.365,-1.54
2025-11-21,10.125,-1.58
2025-11-24,10.105,-1.52
2025-11-25,9.67,-1.07
2025-11-26,9.5075,-1.51
2025-11-27,9.1175,-1.24
2025-11-28,9.16,-1.21
2025-12-01,9.14,-1.58
2025-12-02,8.75,-1.6
2025-12-03,8.385,-1.33
2025-12-04,8.2175,-1.82
2025-12-05,8.0325,-1.38
2025-12-08,8.23,-1.5
2025-12-09,8.2375,-1.23
2025-12-10,8.1375,-1.36
2025-12-11,8.2425,-1.17
2025-12-12,8.165,-1.11
2025-12-15,8.445,-1.12
2025-12-16,8.025,-1.17
2025-12-17,7.6825,-0.86
2025-12-18,7.5125,-0.82
2025-12-19,7.4375,-1.04
2025-12-22,7.9,-1.54
2025-12-23,8.43,-1.21
2025-12-24,8.4575,-0.88
2025-12-25,8.6525,-1.07
2025-12-26,8.515,-1.36
2025-12-29,8.6225,-1.35
2025-12-30,8.55,-1.25
2025-12-31,8.3425,-1.14
2026-01-01,8.415,-1.59
2026-01-02,8.07,-1.38
2026-01-05,8.1825,-1.24
2026-01-06,7.925,-1.58
2026-01-07,7.6575,-1.18
2026-01-08,7.58,-1.05
2026-01-09,8.0225,-1.39
2026-01-12,8.1425,-1.16
2026-01-13,8.7175,-1.79
2026-01-14,8.9625,-1.67
2026-01-15,8.6075,-1.36
2026-01-16,8.3975,-0.98
2026-01-19,8.615,-1.38
2026-01-20,9.0975,-1.27
2026-01-21,8.82,-1.7
2026-01-22,9.0175,-1.41
2026-01-23,9.8775,-1.4
2026-01-26,10.295,-1.63
2026-01-27,11.2,-1.66
2026-01-28,10.1475,-1.64
2026-01-29,10.325,-1.18
2026-01-30,9.9225,-1.42
2026-02-02,9.1,-1.18
2026-02-03,8.895,-1.31
2026-02-04,9.43,-1.44
2026-02-05,10.015,-1.53
2026-02-06,10.1125,-1.31
2026-02-09,9.2175,-1.26
2026-02-10,9.44,-1.39
2026-02-11,10.275,-1.83
2026-02-12,10.41,-1.93
2026-02-13,10.39,-1.53
2026-02-16,9.14,-1.59
